0	1467855957.840207718	0 0.00546135 0 0.00546135 5.04892e-08 0.00546135 5.436e-08 0.00546135 
1	1467855957.850314054	0 0.00528561 0 0.00528561 5.34283e-08 0.00528561 5.85385e-08 0.00528561 
2	1467855957.860412398	0 0.00531834 0 0.00531834 5.56897e-08 0.00531834 4.83326e-08 0.00531834 
3	1467855957.870513477	0 0.00548304 0 0.00548304 9.27562e-08 0.00548304 5.85385e-08 0.00548304 
4	1467855957.880613521	0 0.00512227 0 0.00512227 5.86326e-08 0.00512227 6.56538e-07 0.00512227 
5	1467855957.890737076	0 0.0051096 0 0.0051096 6.33913e-08 0.0051096 5.08815e-08 0.0051096 
6	1467855957.900872347	0 0.00456261 0 0.00456261 6.54327e-08 0.00456261 7.413e-08 0.00456261 
7	1467855957.910972174	0 0.00437156 0 0.00437156 2.97603e-08 0.00437156 5.99314e-08 0.00437156 
8	1467855957.921107252	0 0.00279612 0 0.00279612 4.28149e-08 0.00279612 3.81549e-08 0.00279612 
9	1467855957.931220862	0 0.00267242 0 0.00267242 3.791e-09 0.00267242 6.0629e-08 0.00267242 
10	1467855957.941357391	0 0.00252275 0 0.00252275 0 0.00252275 1.67322e-08 0.00252275 
11	1467855957.951486943	0 0.00264474 0 0.00264474 7.92977e-08 0.00264474 7.06336e-08 0.00264474 
12	1467855957.961577915	0 0.00247496 0 0.00247496 8.45384e-08 0.00247496 1.18453e-07 0.00247496 
13	1467855957.971680061	0 0.00242379 0 0.00242379 3.22329e-08 0.00242379 2.91564e-08 0.00242379 
14	1467855957.981761989	0 0.00209701 0 0.00209701 7.8842e-08 0.00209701 5.87702e-08 0.00209701 
15	1467855957.991840543	0 0.00182584 0 0.00182584 3.76322e-08 0.00182584 5.99314e-08 0.00182584 
16	1467855958.012034546	0 0.00188997 0 0.00188997 4.77792e-08 0.00188997 6.38838e-08 0.00188997 
17	1467855958.022171522	0 0.0018227 0 0.0018227 5.11677e-08 0.0018227 9.84571e-08 0.0018227 
18	1467855958.032269231	0 0.00186517 0 0.00186517 1.02657e-08 0.00186517 4.78699e-08 0.00186517 
19	1467855958.042372086	0 0.00205638 0 0.00205638 4.43933e-08 0.00205638 6.08609e-08 0.00205638 
20	1467855958.052505987	0 0.00200713 0 0.00200713 6.40714e-08 0.00200713 5.20401e-08 0.00200713 
21	1467855958.062627307	0 0.00193906 0 0.00193906 3.15588e-08 0.00193906 4.09286e-08 0.00193906 
22	1467855958.072741387	0 0.00208628 0 0.00208628 4.86825e-08 0.00208628 6.45809e-08 0.00208628 
23	1467855958.082834308	0 0.00207535 0 0.00207535 5.34283e-08 0.00207535 3.39985e-08 0.00207535 
24	1467855958.092929479	0 0.00195766 0 0.00195766 2.30266e-08 0.00195766 5.99314e-08 0.00195766 
25	1467855958.103044843	0 0.00200874 0 0.00200874 6.90643e-08 0.00200874 7.10995e-08 0.00200874 
26	1467855958.113173439	0 0.00167506 0 0.00167506 1.04201e-07 0.00167506 2.501e-08 0.00167506 
27	1467855958.123304601	0 0.00159342 0 0.00159342 3.29073e-08 0.00159342 5.83054e-08 0.00159342 
28	1467855958.133394502	0 0.00140417 0 0.00140417 7.56556e-08 0.00140417 7.7162e-08 0.00140417 
29	1467855958.143518035	0 0.0012317 0 0.0012317 6.13511e-08 0.0012317 2.8004e-08 0.0012317 
30	1467855958.153598916	0 0.00122257 0 0.00122257 3.89841e-08 0.00122257 2.63919e-08 0.00122257 
31	1467855958.163688516	0 0.00133922 0 0.00133922 5.11677e-08 0.00133922 6.83046e-08 0.00133922 
32	1467855958.173768137	0 0.00128114 0 0.00128114 2.75147e-08 0.00128114 0 0.00128114 
33	1467855958.193901391	0 0.00145376 0 0.00145376 2.68415e-08 0.00145376 3.70003e-08 0.00145376 
34	1467855958.204033832	0 0.0014911 0 0.0014911 5.99921e-08 0.0014911 7.01673e-08 0.0014911 
35	1467855958.214136529	0 0.00151939 0 0.00151939 1.306e-06 0.00151939 3.30765e-08 0.00151939 
36	1467855958.224257459	0 0.00165811 0 0.00165811 6.74747e-08 0.00165811 5.66804e-08 0.00165811 
37	1467855958.234360415	0 0.00117549 0 0.00117549 5.11677e-08 0.00117549 1.69614e-08 0.00117549 
38	1467855958.244462924	0 0.000960199 0 0.000960199 2.75147e-08 0.000960199 1.4435e-08 0.000960199 
39	1467855958.254576336	0 0.00106358 0 0.00106358 5.79537e-08 0.00106358 7.45963e-08 0.00106358 
40	1467855958.264709096	0 0.0013965 0 0.0013965 1.72006e-08 0.0013965 4.39345e-08 0.0013965 
41	1467855958.274783841	0 0.00102967 0 0.00102967 3.74077e-08 0.00102967 9.38849e-09 0.00102967 
42	1467855958.284881213	0 0.000536088 0 0.000536088 7.20179e-08 0.000536088 3.19235e-08 0.000536088 
43	1467855958.294966595	0 0.000598986 0 0.000598986 3.40315e-08 0.000598986 3.88486e-08 0.000598986 
44	1467855958.305092919	0 0.000577342 0 0.000577342 4.28149e-08 0.000577342 4.34716e-08 0.000577342 
45	1467855958.315195666	0 0.00031543 0 0.00031543 8.47663e-08 0.00031543 8.60402e-08 0.00031543 
46	1467855958.325263398	0 0.000144089 0 0.000144089 3.38071e-08 0.000144089 7.00818e-07 0.000144089 
47	1467855958.345420988	0 6.08091e-07 0 6.08091e-07 6.40159e-07 6.08091e-07 6.0629e-08 6.08091e-07 
48	1467855958.355532246	0 1.05903e-06 0 1.05903e-06 3.5157e-08 1.05903e-06 7.36636e-08 1.05903e-06 
49	1467855958.365614509	0 0 0 0 3.29073e-08 0 9.8471e-09 0 
